Rk,team,year,Date,Time,LTime,away,Opp,week,G#,Day,Result,OT,Att,Yds,Y/A,TD
605,KC,2019,2019-10-27,8:20,7:20,,GB,8,8,Sun,L 24-31,,26,118,4.54,1
606,MIA,2018,2018-11-25,4:25,1:00,@,IND,12,11,Sun,L 24-27,,26,118,4.54,0
607,NE,2017,2017-11-12,8:30,6:30,@,DEN,10,9,Sun,W 41-16,,28,118,4.21,0
608,NYG,2018,2018-10-07,1:00,1:00,@,CAR,5,5,Sun,L 31-33,,31,118,3.81,0
609,NYG,2018,2018-12-02,1:00,1:00,,CHI,13,12,Sun,W 30-27,OT,32,118,3.69,1
610,NYG,2019,2019-12-09,8:15,8:15,@,PHI,14,13,Mon,L 17-23,OT,32,118,3.69,1
611,NYJ,2017,2017-10-15,1:00,1:00,,NE,6,6,Sun,L 17-24,,25,118,4.72,1
612,LA,2017,2017-12-03,4:25,2:25,@,ARI,13,12,Sun,W 32-16,,24,118,4.92,1
613,ATL,2017,2017-10-01,1:00,1:00,,BUF,4,4,Sun,L 17-23,,36,117,3.25,0
614,BUF,2018,2018-09-09,1:00,1:00,@,BAL,1,1,Sun,L 3-47,,34,117,3.44,3
615,CHI,2017,2017-09-17,1:00,1:00,@,TB,2,2,Sun,L 7-29,,34,117,3.44,1
616,IND,2019,2019-12-16,8:15,7:15,@,NO,15,14,Mon,L 7-34,,33,117,3.55,0
617,DAL,2019,2019-09-29,8:20,7:20,@,NO,4,4,Sun,L 10-12,,27,117,4.33,0
618,DET,2018,2018-12-16,1:00,1:00,@,BUF,15,14,Sun,L 13-14,,37,117,3.16,1
619,MIA,2019,2019-10-20,1:00,1:00,@,BUF,7,6,Sun,L 21-31,,23,117,5.09,0
620,NE,2018,2018-11-04,8:20,8:20,,GB,9,9,Sun,W 31-17,,25,117,4.68,0
621,TEN,2018,2018-09-30,1:00,12:00,,PHI,4,4,Sun,W 26-23,OT,22,117,5.32,0
622,TEN,2019,2019-11-24,4:05,3:05,,JAC,12,11,Sun,W 42-20,,27,117,4.33,2
623,SF,2019,2019-11-24,8:20,5:20,,GB,12,11,Sun,W 37-8,,28,117,4.18,0
624,CAR,2018,2018-12-09,1:00,1:00,@,CLE,14,13,Sun,L 20-26,,21,116,5.52,2
625,CLE,2018,2018-10-07,1:00,1:00,,BAL,5,5,Sun,W 12-9,OT,25,116,4.64,0
626,ARI,2019,2019-09-08,4:25,2:25,,DET,1,1,Sun,T 27-27,OT,32,116,3.63,0
627,DEN,2018,2018-12-30,4:25,2:25,,LAC,17,16,Sun,L 9-23,,30,116,3.87,1
628,HOU,2018,2018-10-25,8:20,7:20,,MIA,8,8,Thu,W 42-23,,25,116,4.64,1
629,JAC,2017,2017-12-31,4:25,12:00,@,TEN,17,16,Sun,L 10-15,,39,116,2.97,0
630,MIA,2017,2017-12-17,1:00,1:00,@,BUF,15,14,Sun,L 16-24,,30,116,3.87,2
631,MIA,2018,2018-09-09,1:00,1:00,,TEN,1,1,Sun,W 27-20,,29,116,4.00,1
632,TEN,2017,2017-12-24,1:00,12:00,,LA,16,15,Sun,L 23-27,,26,116,4.46,0
633,OAK,2017,2017-09-24,8:30,8:30,@,WAS,3,3,Sun,L 10-27,,34,116,3.41,0
634,SEA,2017,2017-12-31,4:25,1:25,,ARI,17,16,Sun,L 24-26,,33,116,3.52,1
635,SF,2017,2017-09-10,4:25,1:25,,CAR,1,1,Sun,L 3-23,,38,116,3.05,0
636,SF,2018,2018-09-09,1:00,3:00,@,MIN,1,1,Sun,L 16-24,,32,116,3.63,0
637,SF,2018,2018-10-15,8:15,7:15,@,GB,6,6,Mon,L 30-33,,21,116,5.52,1
638,SF,2019,2019-12-08,1:00,12:00,@,NO,14,13,Sun,W 48-46,,27,116,4.30,1
639,TB,2018,2018-11-11,1:00,1:00,,WAS,10,9,Sun,L 3-16,,25,116,4.64,0
640,ATL,2019,2019-12-22,1:00,1:00,,JAC,16,15,Sun,W 24-12,,24,115,4.79,0
641,CAR,2019,2019-12-29,1:00,1:00,,NO,17,16,Sun,L 10-42,,35,115,3.29,2
642,CIN,2017,2017-10-29,1:00,1:00,,IND,8,7,Sun,W 24-23,,28,115,4.11,0
643,ARI,2019,2019-09-29,4:05,2:05,,SEA,4,4,Sun,L 10-27,,27,115,4.26,1
644,DAL,2019,2019-10-20,8:20,7:20,,PHI,7,7,Sun,W 37-10,,28,115,4.11,0
645,DEN,2019,2019-12-01,4:25,2:25,,LAC,13,12,Sun,W 23-20,,29,115,3.97,0
646,MIN,2017,2017-10-09,8:30,7:30,@,CHI,5,5,Mon,W 20-17,,29,115,3.97,0
647,MIN,2017,2017-10-29,9:30,2:30,@,CLE,8,8,Sun,W 33-16,,22,115,5.23,2
648,NO,2019,2019-09-15,4:25,1:25,@,LA,2,2,Sun,L 9-27,,30,115,3.83,2
649,OAK,2017,2017-12-31,4:25,1:25,@,LAC,17,16,Sun,L 10-30,,30,115,3.83,0
650,SEA,2019,2019-09-29,4:05,2:05,@,ARI,4,4,Sun,W 27-10,,23,115,5.00,1
651,TB,2017,2017-12-24,1:00,1:00,@,CAR,16,15,Sun,L 19-22,,31,115,3.71,1
652,WAS,2019,2019-11-17,1:00,1:00,,NYJ,11,10,Sun,L 17-34,,33,115,3.48,1
653,CLE,2018,2018-10-21,1:00,1:00,@,TB,7,7,Sun,L 23-26,OT,32,114,3.56,3
654,DEN,2018,2018-12-24,8:15,5:15,@,OAK,16,15,Mon,L 14-27,,30,114,3.80,2
655,HOU,2018,2018-09-23,1:00,12:00,,NYG,3,3,Sun,L 22-27,,27,114,4.22,1
656,JAC,2018,2018-09-09,1:00,1:00,@,NYG,1,1,Sun,W 20-15,,23,114,4.96,1
657,NYG,2019,2019-10-10,8:20,8:20,@,NE,6,6,Thu,L 14-35,,34,114,3.35,3
658,LAC,2018,2018-11-11,4:05,1:05,@,OAK,10,9,Sun,W 20-6,,22,114,5.18,0
659,SF,2017,2017-11-12,4:25,1:25,,NYG,10,10,Sun,W 31-21,,23,114,4.96,0
660,ATL,2018,2018-09-06,8:20,8:20,@,PHI,1,1,Thu,L 12-18,,27,113,4.19,2
661,CIN,2019,2019-11-17,4:25,1:25,@,OAK,11,10,Sun,L 10-17,,34,113,3.32,1
662,IND,2018,2018-11-25,4:25,1:00,,MIA,12,11,Sun,W 27-24,,25,113,4.52,1
663,IND,2019,2019-10-27,1:00,1:00,,DEN,8,7,Sun,W 15-13,,28,113,4.04,1
664,ARI,2019,2019-12-29,4:25,1:25,@,LA,17,16,Sun,L 24-31,,33,113,3.42,1
665,DAL,2018,2018-09-23,4:25,1:25,@,SEA,3,3,Sun,L 13-24,,39,113,2.90,1
666,JAC,2019,2019-09-08,1:00,1:00,,KC,1,1,Sun,L 26-40,,26,113,4.35,1
667,MIN,2017,2017-12-23,8:30,7:30,@,GB,16,15,Sat,W 16-0,,24,113,4.71,0
